Application Name;Metric Name;Metric Id;Metric Type;Critical;Snapshot Date #1;Result #1
Vita Individuali Mainframe;Number of Code Lines;10151;technical-size-measures;N/A;2017-10-12;6306933.0
Vita SUV;Number of Code Lines;10151;technical-size-measures;N/A;2017-10-12;1299648.0
Consultazione Sinistri;Number of Code Lines;10151;technical-size-measures;N/A;2017-10-10;7313.0
Denuncia Applicativa;Number of Code Lines;10151;technical-size-measures;N/A;2017-10-10;75218.0
Folder Sinistri;Number of Code Lines;10151;technical-size-measures;N/A;2017-10-10;77739.0
Movimentazione Sinistri;Number of Code Lines;10151;technical-size-measures;N/A;2017-10-10;41894.0
Portale fiduciari;Number of Code Lines;10151;technical-size-measures;N/A;2017-10-10;239881.0
Scanner Sinistri;Number of Code Lines;10151;technical-size-measures;N/A;2017-10-10;10337.0
Sinistri Core;Number of Code Lines;10151;technical-size-measures;N/A;2017-10-10;46359.0
SinistriMainframe;Number of Code Lines;10151;technical-size-measures;N/A;2017-10-10;5672904.0
Sirio;Number of Code Lines;10151;technical-size-measures;N/A;2017-10-10;806835.0
VB6-Batch;Number of Code Lines;10151;technical-size-measures;N/A;2017-10-10;459602.0
VB6-Tool Perizia medica;Number of Code Lines;10151;technical-size-measures;N/A;2017-10-10;6834.0
AnnullamentiRV;Number of Code Lines;10151;technical-size-measures;N/A;2017-10-03;50218.0
AppendiciRV;Number of Code Lines;10151;technical-size-measures;N/A;2017-10-03;112834.0
ClausolarioDirezionale;Number of Code Lines;10151;technical-size-measures;N/A;2017-10-03;20619.0
Conguagli_DA;Number of Code Lines;10151;technical-size-measures;N/A;2017-10-03;81230.0
CruscottoPreventivi_DA;Number of Code Lines;10151;technical-size-measures;N/A;2017-10-03;43180.0
DanniWS;Number of Code Lines;10151;technical-size-measures;N/A;2017-10-03;124.0
DirMPTF;Number of Code Lines;10151;technical-size-measures;N/A;2017-10-03;53826.0
DocumentStorage;Number of Code Lines;10151;technical-size-measures;N/A;2017-10-03;31551.0
FastQuoteRV_AD;Number of Code Lines;10151;technical-size-measures;N/A;2017-10-03;193697.0
GestCoass;Number of Code Lines;10151;technical-size-measures;N/A;2017-10-03;52498.0
GestionePortafoglio;Number of Code Lines;10151;technical-size-measures;N/A;2017-10-03;1315.0
Grandine Mainframe;Number of Code Lines;10151;technical-size-measures;N/A;2017-10-03;572416.0
Grandine_DA;Number of Code Lines;10151;technical-size-measures;N/A;2017-10-03;85380.0
GRV;Number of Code Lines;10151;technical-size-measures;N/A;2017-10-03;157982.0
InquiryAgenzia;Number of Code Lines;10151;technical-size-measures;N/A;2017-10-03;31031.0
ModifichePortafoglio;Number of Code Lines;10151;technical-size-measures;N/A;2017-10-03;85467.0
